Organization Name,Description,Number of Investments
Peterborough Region,The Peterborough Region Angel Network is a privately driven initiative that brings together individual investors from the area.,2
Acupo Ventures,Acupo Ventures is a pre-seed venture capital firm investing in small ideas with the potential to change big things.,2
Rock The Post,"Equity crowdfunding platform, renamed as Onevest in 2014",1
Rebel One,"Rebel One offers pre-accelerator training, education, and facilitation to move aspiring and early stage founders from idea to launch.",1
Brickyard,"Builders backing builders. Early stage capital & startup outfitter. Chattanooga, TN.",1
Brown Angel Group,Brown Angel Group is a network of investors that support early-stage startups and fundraising services.,1
Beluga Capital,Beluga Capital is an angel investment group focused on helping amazing startups at the pre-seed and seed stages.,1
Incisive Ventures,Early stage technology investor.,1
Chemical Angel Network,Chemical Angel Network provides a mechanism for accredited angel investors to source and vet quality early-stage investment opportunities.,1
Angel Labs,Angel Investing & Venture Capital education platform with a presence in 38 countries,1
Eunike Ventures,Eunike Ventures is a business accelerator in the oil and gas industry.,1
Defense Angels,Investing in cutting-edge technologies supporting national security,1
KDC,"KDC financed, owned, and operated over $3.5 billion in infrastructure across the nation, partnering with numerous Fortune 100 companies.",1
White Sand Group,White Sand Group is reportedly Elliott Donnelly angel investment group. It does not as of late 2008 have a web presence.,1
Prana Ventures,Prana Ventures is an independent private investment company.,1
Angel Capital Association,The Angel Capital Association is the leading professional and trade association supporting the success of angel investors.,1
Blockchain Companies LLC,Investment in web3 projects.,1
Minority Angel Investor Network,Minority Angel Investor Network is a Venture Capital Firm and is an outgrowth of an initiative of the Ben Franklin Technology Partners.,1
"Liberate Ideas, Inc",Liberate Ideas Inc® leading mobile health communication company,1
Grubstakes,Grubstakes is a Seattle-based investment company that fund startup.,1
SF Angels Group,San Francisco Angel Investor Group,1
Vectors Angel,Vectors Angel is a community of impact investors helping startups to address global challenges.,1
Branch Venture Group,Branch Venture Group is a network of investors exclusively in food-related startups.,1
South Valley Angels,South Valley Angels is a group of member investors who fund newly starting businesses.,1
Kentucky Select Fund,Kentucky Select Fund is an angel investment fund that provides funding and expertise to help entrepreneurs reach their goals.,1
Red Giraffe Advisors,Red Giraffe Advisors is a start-up advisory and investment firm.,1
Blue Angels Investment Group,Blue Angels Investment Group primarily seeks investments in profit-driven Bluetech opportunities.,1
BUBA (BUMED Business Angels),"BUBA is the first university-based business angel network in Turkey, but also provides customized incubation and acceleration services.",1
Segal Ventures,Segal Ventures is an angel and early-stage investment firm that focuses on women and minority founders.,1
RKCA,RKCA is a comprehensive advisory and financing services for companies at any stage.,1
Lehigh Valley Angel Investors,Lehigh Valley Angel Investors is a group of entrepreneurs in the Lehigh Valley.,1
Boise Angel Alliance,"An alliance of accredited investors in Boise, Idaho that provided investor support and education.",1
Dallas Angel Network,The purpose of The Dallas Angel Network is to link entrepreneurs with angel investors in a transparent environment conducive to funding,1
Wolverine Angels Network,Wolverine Angels Network leverages capital and expertise from the global University of Michigan alumni community to accelerate startups.,1
Graduate Fund,Graduate Fund is an approachable source of capital for recent grads and first time founders.,1
HBS Angels of Boston,HBS Angels of Boston connects Harvard Alumni who are Interested in Investing in Early‑Stage Companies,1
Great Lakes Angels,Great Lake Angels makes equity investments in early stage companies.,1
Parcel B,Parcel B is an investment collective of Olin alumni and community member investors who believe in the mission of Olin College.,1
Galactic.VC,Galactic VC is a cross-border venture fund. We back tenacious founders to launch legendary companies.,1
Victorum Capital,"Victorum Capital is a network of investors, entrepreneurs, and partners focused on discovering, funding, and supporting.",1
UH Rainbow Babies & Children's Foundation,UH Rainbow Babies & Children’s Foundation is a supporting organization of University Hospitals Rainbow Babies & Children’s Hospital.,1
Ankeny Angels,Ankeny Angels is a network of angel investors that help businesses of all sizes find the resources they need.,1
Redstone Investments,Redstone provides early-stage and growth equity investments throughout the United States in real estate and technology.,1
Sustainable Local Food Investment Group,Sustainable Local Food Investment Group is an investor network that shares private investment systems.,1
Lawrence Investment Holdings Ltd,Seed and Angel Investments with board advisory services.,1
TLC Collective,TLC Collective is an investment firm.,1
Enterprise Fund,Venture capital and private equity founded and run by former Atlassian & Docker executives.,1
Blue Angels Ventures,Invest primarily in early and mid-sized entrepreneurial team,1
FP Angels,FP Angels is an angel group that invests in seed and early stage companies.,1
Blackrock Capital LTD,VC firm,1
MCT Capital,Venture Capital,1
Private Capital Network,Private Capital Network (PCN) is Southern California's fastest-growing angel investor association.,1
Greenbice,Greenbice is an angel on technologies to solve complex and challenging problems in the world.,1
Diagram Capital,Investing in Seed Round of early stage technology companies,1
Facilitated Growth,Facilitated Growth invests in and assists companies with the planning and execution of the capital raising process.,1
McCulloch Capital,McCulloch Capital helps entrepreneurs build successful ventures. The firm provides seed capital and advisory services.,1
Hashim Family Investments Limited,Venture Capital,1
Hydra Ventures,"Investing in seed, mid and late stage companies.",1
Double J Capital,Double J Capital is the investment vehicle for Jordan Hitch.,1
Firmender & Co. Capital,Family-led angel investment group.,1
.Invest Ukraine,.Invest is a smart angel fund investment investing in Ukrainian startups.,1
Bell Standard,Bell Standard is an information technology company that specializes in mobile application development.,1
FIN Capital,FIN Capital is a women's angel investment network in Iowa.,1
Pandect Bioventures,Pandect Bioventures is venture capital firm providing seed to Series A and later funding to early-stage biotech and pharma companies.,1
Rees Capital,Rees Capital is an angel investment and mentor capital firm.,1
Atreides Ventures,"Atreides Ventures is a venture capital fund that invests in technology, digital entertainment, real estate, and tourism.",1
SWAN Impact Network,Investing in social and environmental impact startup companies.,1
"Visual Interactive Investments, LLC","Investment group formed just for Spacee, Inc.",1
Angel's Lancaster Angel Network,Angel's Lancaster Angel Network is a venture capital & private equity firm.,1
KAYWEB Angels LLC,"KAYWEB Angels, LLC is an angel investment group based in New York City, providing development services.",1
RAIN Source Capital,Regional Angel Investment Groups,1
313 Ventures,313 Ventures is a holding company for seed stage investments and other entrepreneurial misadventures in the Metro Detroit Area.,1
Arc Ventures,Sector Agnostic,1
Southern Tier Opportunity Coalitiion,"The STOC Angel Investment Network (STOC-AIN), based in Binghamton, NY seeks local business investment opportunities.",1
Independence Accessible,"Supported Housing, Employment & Disability Advocacy Firm",1
Jaguar Biotech,"Jaguar Biotech is an angel fund with investments in the fiber optic, tech and biotech space.",1
Evolved Ventures,Building bridges that connect people to possibilities.,1
Ann Arbor Angels,The Ann Arbor Angels is a membership organization of Angel investors that invest in early-stage innovation based companies.,1
Foster Equity Ventures LLC,SaaS,1
JetVentures,JetVentures is the strategic early stage fund of JetSynthesys that invests in Founders driven to create meaning with products that capture.,1
Canna Angels,Canna Angels is an angel investment group that invests in the cannabis sector.,1
CVA Angels,CVA Angels,1
Invo,INVO digital is a small sized “Digital Mix” agency of 10+ employees based in the center of Kiev.,1
Rogue Capital Collective,Rogue Capital Collective is an angel investment firm.,1
Huntsville Angel Network,"The Huntsville Angel Network (AAN) is an investor network located in Huntsville, Alabama that invests in early stage companies.",1
Ellis Energy Investments,"Ellis Energy Investments is a Seed Investment Company that helps early stage companies launch, monetize and grow.",1
V-Ten Capital,"V-Ten is a venture capital firm providing investment capital for seed, early and growth stage companies in various markets.",1
East Coast Ventures,Syndicate of three individual investors in New York.,1
genYcapital,genYcapital is a venture capital firm.,1
Rough Diamond Capital,Rough Diamond Capital provide comprehensive advisory services to pre-seed companies in preparation for a seed round financing.,1
Nascita Ventures,Nascita Ventures is an Angel fund that focuses on early-stage life sciences companies.,1
Foothills Angels,Foothills Angels is a group of successful entrepreneurs and business people.,1
Beyond Hook Ventures,Beyond Hook Ventures is passionate about growing businesses and know from hands-on experience what it takes to win.,1
Golden Age,Golden Age,1
Mintian Capital,Mintian Capital is a fund located in New York City that is primarily focused on Early/Seed stage internet and software investments.,1
American Entertainment Investors,"American Entertainment Investors, Inc. was founded in 1996 by prominent media investment banker and film financier Joseph N. Cohen",1
OZ Information Technologies LLC,CTO as a Service and Angel/Seed Investments,1
Old Town Capital,Old Town Capital,1
Emergent Holdings,"Emergent Holdings is an angel fund in Birmingham, Alabama.",1
Sophelle Ventures,"A network of investors focused on promising, early-stage retail companies and innovative, retail-industry solution providers.",1
PaoCapital,"Investment, Advisory, Board Positions",1
4B Investments,"4B Investments is an angel investment group based in Russellville, Kentucky.",1
Dauk/Wagner Investments,"Dauk/Wagner Investments investes in early stage enterprises; and provides merger and acquisition, and financial advisory services.",1
Northstar Pain Management LLC,Private Equity Investor Group,1
Bluewave Investment Partners,Orlando Angels,1
Prospect Management group llc,Prospect Management group llc is an Investments firm.,1
Business Angel Pool,Pool of international business angels,1
NJIT Highlanders Angel Network,NJIT Highlanders Angel Network provides investment capital and mentoring to support High-Tech Life Science & Technology related businesses.,1
Cat Empire Angel Group,Cat Empire Angel Group is an early-stage tech fund.,1
Active Starts,Active Starts is a professional angel investment firm. Our investment focus is on California-based software start-ups within a year from,1
The Richardson Company LLC,"Healthcare Consulting, Angel Investors, Marketing, Accountants, Startups",1
Islanders Education Pvt Ltd,An Education Group from The Maldives,1
IMAF-Charlotte,IMAF-Charlotte is an investment firm that focuses on investing in early-stage and venture scalable businesses.,1
Angels with Attitude,"Angels with Attitude is an investment company with a committed pool of capital that they call an ""active angel fund.""",1
Encubay Angel Network,Encubay Angel Network aims to unlock the huge potential of funds that rest with women & men who are keen to invest in diverse founders.,1
Topline Capital,Topline Capital provides a new way for accredited Angel investors to find exceptional deals.,1
Apolon Business Consulting LLC,Business consulting and investment firm,1
PinOak Capital,PinOak Capital is an investor group based on Maryland’s Eastern Shore.,1
Horizon Angels,Horizon Angels is an investment firm.,1
Sherpa Capital,Small angel fund in western Canada,1
Elan Alternative Group,Luke Andrew Powell is the managing director of Elan Alternative Group which is a boutique Placement Agent based in the Bay Area.,1
Flying Crown Holdings,Investment Bank,1
Astia Angels,Astia Angels is an international network of female and male investors.,1
iEnergies,iEnergies is a direct investment company focusing on solar energy and cleantech in general participating in seed and expansion stages.,1
Attic Ventures,Creating + Investing,1
Goldrock Media LLC,Angel,1
Thincube,"Startup studio, angel investor",1
Opaaya,"Opaaya provides hardware and software support for all IT assets, remotely and on-site.",1
Florida Angel Network,"Florida Angel Network is a soon-to-be established angel network for small, early-stage companies in Florida.",1
Spokane Angel Alliance,Spokane Angel Alliance is a company that provides non profit investment services.,1
National Network of Angel Investors,The National Network of Angel Investors is an angel investor group.,1
Central Valley Angel Group,Central Valley Angel Group is an angel investment group.,1
Westhill Capital,LA-based Angel Syndicate,1
Tennessee Angel Fund,Tennessee Angel Fund (TAF) is a statewide angel co-investment fund launched as part of the TNInvestco program.,1
St. Croix Valley Angel Network,St. Croix Valley Angel Network operates as an IRS not-for-profit organization with a volunteer board of directors.,1
Springfield Angels,"The Springfield Angel Group is a member led organization committed to finding, funding and mentoring great young companies.",1
The Chen Group,Taiwan-based Angel Investment Group,1
Griffen Avenue Ventures,New York-based Angel Group,1
Charleston Angel Conference,"The Charleston Angel Conference is an event where accredited investors create an entity,",1
Blue Bright Ventures,Blue Bright Ventures invests in early-stage technology companies in the Southeast with a focus on the Raleigh-Durham area.,1
Lowcountry Angels,Investor,1
Fiamm Korea,"Fiamm Korea specializes in importing, selling, installing, and maintaining industrial storage batteries and peripheral equipment.",1
Alchemy Angel Investors,"Alchemy Angel Investors invest in early-stage, high-growth potential startups.",1
Heapstack,International angel investors specializing in educational marketplaces,1
Machkor Capital,"Machkor Capital provides early stage seed capital for consumer and enterprise based web, mobile & digital media start-ups.",1
The Internet Roundtable,The Internet Roundtable is a group of angel investors and early stage venture capitalists.,1
LV Capital Investors,High-tech investors,1
ServiceNow founding members,Active and retired senior executives of ServiceNow,1
Brown Trust,Private Investor Group,1
Jounce NN,Syndicate,1
"TPM GunClear, LLC","An agglomeration of friends, family, founders, and the earliest advisors to GunClear.",1
Sierra Angels,Sierra Angels is the Northern Sierra region's top angel investing group.,1
Redipade,Ipade 50th Generation Investment fund.,1
Pattco Ventures,Angel Investment Firm,1
4TI Participacoes Ltda,"it's an Angel group located in Sao Paulo, BR",1
Samba Corporation,Samba Corporation is an angel investor who invests in small startups.,1
KR Ravi Group,Angel Group,1
New York New Media Angel Group,New York New Media Angel Group,1
